id,roomId,category,subcategory,date,photoUrl,description,cost,dateFixed
1,73,3,17,Mon May 13 2019 19:39:14 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Vitae et maiores ut illo totam.,641,Thu Sep 19 2019 03:51:52 GMT-0700 (PDT)
2,1,2,10,Wed Jul 31 2019 22:32:16 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Labore culpa animi vel nam unde repellendus inventore dignissimos qui.,424,Sun Aug 04 2019 15:55:38 GMT-0700 (PDT)
3,60,1,5,Sun Jun 02 2019 07:45:47 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Eligendi sequi rem nemo reprehenderit autem atque rerum et quae.,390,Mon Aug 12 2019 17:26:55 GMT-0700 (PDT)
4,10,1,3,Sat Apr 27 2019 22:33:32 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Quae minima ut cum possimus similique veniam.,432,Sun Jun 30 2019 05:32:39 GMT-0700 (PDT)
5,4,5,23,Sat Aug 03 2019 22:45:26 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Libero voluptas aut adipisci quia numquam mollitia voluptas.,590,Wed Sep 25 2019 18:59:20 GMT-0700 (PDT)
6,86,2,10,Sun Mar 31 2019 19:01:26 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Harum placeat beatae dolor.,71,Sat Jun 15 2019 00:48:32 GMT-0700 (PDT)
7,4,3,15,Sun Apr 28 2019 01:20:30 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Exercitationem aut recusandae ut qui.,99,Sun Jun 09 2019 00:03:38 GMT-0700 (PDT)
8,22,3,17,Wed May 01 2019 10:00:15 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Necessitatibus eius quaerat perferendis quo quia est sapiente voluptatum aliquam.,23,Fri Sep 27 2019 23:01:26 GMT-0700 (PDT)
9,99,1,4,Sat Jun 29 2019 01:35:14 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Sed ducimus quidem provident sit aliquam iure repellat sunt.,531,Mon Jul 29 2019 00:33:05 GMT-0700 (PDT)
10,48,3,17,Wed Apr 10 2019 04:56:26 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Eum velit commodi quis dolores id tempore earum maxime qui.,625,Thu Aug 22 2019 23:54:56 GMT-0700 (PDT)
11,35,1,5,Sun May 05 2019 07:10:00 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Dolorum molestias sint commodi.,954,Fri Sep 13 2019 08:18:25 GMT-0700 (PDT)
12,14,2,10,Sun Apr 07 2019 22:52:24 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Minus et numquam non est magnam vero voluptatem quia occaecati.,179,Mon Sep 16 2019 00:48:02 GMT-0700 (PDT)
13,50,3,17,Sun May 12 2019 12:57:30 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Vel asperiores occaecati sed ut illo voluptatum dignissimos quidem.,399,Thu Aug 01 2019 23:24:45 GMT-0700 (PDT)
14,46,3,16,Tue May 07 2019 08:49:54 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Earum ratione qui adipisci aut distinctio.,935,Fri May 17 2019 14:41:19 GMT-0700 (PDT)
15,2,1,4,Fri Jul 12 2019 20:17:36 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Magnam in incidunt autem illum occaecati dolorum.,490,Tue Aug 13 2019 10:49:42 GMT-0700 (PDT)
16,10,2,9,Wed Jul 03 2019 08:49:56 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Occaecati impedit vel amet laudantium magnam in.,223,Wed Aug 28 2019 05:52:35 GMT-0700 (PDT)
17,4,3,15,Wed May 08 2019 01:48:05 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Id aut eum voluptas quo esse.,469,Mon May 13 2019 20:01:39 GMT-0700 (PDT)
18,60,1,4,Sat May 04 2019 13:42:55 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Possimus voluptatem fugiat.,631,Fri Aug 30 2019 05:52:18 GMT-0700 (PDT)
19,51,5,23,Sat May 25 2019 02:22:44 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Vero adipisci molestiae ullam ab fugit tempora et.,979,Wed Jun 05 2019 06:14:33 GMT-0700 (PDT)
20,32,3,17,Sun Jun 30 2019 22:08:46 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Harum reiciendis doloribus perspiciatis.,982,Thu Jul 11 2019 02:38:11 GMT-0700 (PDT)
21,86,5,22,Sat Apr 20 2019 19:22:32 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Id ullam provident.,651,Wed May 08 2019 01:59:00 GMT-0700 (PDT)
22,40,2,10,Wed Apr 24 2019 21:19:06 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Et aut ipsam esse.,166,Mon Sep 02 2019 06:35:01 GMT-0700 (PDT)
23,34,1,4,Fri Jun 28 2019 12:27:20 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Quia ea eum ea id.,334,Thu Aug 01 2019 03:41:27 GMT-0700 (PDT)
24,80,2,9,Thu May 30 2019 06:53:43 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Et qui maxime.,685,Wed Aug 07 2019 17:09:44 GMT-0700 (PDT)
25,55,1,1,Fri May 10 2019 01:30:38 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Vero a voluptas minus voluptatem nemo.,290,Mon Aug 26 2019 03:00:53 GMT-0700 (PDT)
26,38,2,12,Mon Apr 29 2019 10:02:22 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Officia tempore quaerat nemo ducimus quia labore minima quia aliquam.,608,Sat Sep 28 2019 18:25:56 GMT-0700 (PDT)
27,67,5,22,Sat Jun 15 2019 11:23:17 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Veritatis aliquid provident molestias.,380,Fri Sep 13 2019 12:32:33 GMT-0700 (PDT)
28,95,1,7,Sun Mar 31 2019 20:08:18 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Enim ab ut nihil ex et est facilis laborum.,742,Wed Apr 17 2019 09:56:05 GMT-0700 (PDT)
29,58,3,14,Wed May 01 2019 23:41:50 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Laboriosam voluptas quis amet qui amet ipsum hic quia.,540,Mon May 06 2019 14:57:19 GMT-0700 (PDT)
30,20,1,7,Fri Jun 21 2019 04:37:23 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Pariatur reprehenderit aut eveniet numquam velit laudantium voluptatem amet vero.,525,Tue Aug 06 2019 06:10:25 GMT-0700 (PDT)
31,35,5,23,Mon May 27 2019 09:32:43 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Enim minus ullam eum est odit.,817,Thu Jun 20 2019 02:27:05 GMT-0700 (PDT)
32,63,3,16,Sat May 18 2019 14:50:05 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Sit quia est veritatis odit autem eveniet.,984,Wed Jun 26 2019 17:11:29 GMT-0700 (PDT)
33,52,1,1,Wed Apr 03 2019 07:10:06 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Ratione repellendus sint nulla.,830,Tue May 07 2019 14:37:19 GMT-0700 (PDT)
34,74,5,23,Mon Jun 03 2019 01:10:50 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Quae hic quasi qui provident expedita rerum.,823,Mon Jul 08 2019 09:52:45 GMT-0700 (PDT)
35,28,2,12,Tue Apr 30 2019 20:45:40 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Delectus sunt ad nobis at amet est.,470,Mon May 13 2019 13:10:58 GMT-0700 (PDT)
36,10,4,19,Tue Jul 16 2019 04:39:43 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Fugiat dolor ut voluptatem.,469,Tue Aug 06 2019 21:57:45 GMT-0700 (PDT)
37,82,3,16,Sun Jul 21 2019 20:37:54 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Hic animi nesciunt quibusdam perferendis voluptates optio modi.,455,Sun Sep 01 2019 06:42:21 GMT-0700 (PDT)
38,59,2,10,Thu Apr 11 2019 00:15:17 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Mollitia magni molestiae veniam ducimus quia voluptas eligendi eligendi et.,46,Sat Jul 06 2019 00:24:02 GMT-0700 (PDT)
39,95,5,23,Wed Apr 17 2019 23:17:30 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Quam aspernatur deleniti possimus magni quis et.,179,Wed May 15 2019 10:05:18 GMT-0700 (PDT)
40,71,3,14,Wed May 22 2019 19:13:25 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Doloribus aut aut.,12,Wed Jul 24 2019 13:07:16 GMT-0700 (PDT)
41,63,1,6,Fri Aug 02 2019 15:37:56 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Voluptatem aliquam mollitia in repellat sint molestiae cumque molestiae.,507,Wed Sep 04 2019 12:01:47 GMT-0700 (PDT)
42,20,5,23,Fri Jul 26 2019 12:06:12 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Ut eligendi enim dolores ducimus est et qui.,312,Tue Aug 20 2019 12:56:47 GMT-0700 (PDT)
43,49,4,20,Sat Jun 01 2019 13:26:47 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Molestiae vitae earum maiores reprehenderit ut quisquam similique.,152,Sun Sep 01 2019 07:01:59 GMT-0700 (PDT)
44,30,3,14,Mon Apr 08 2019 01:32:57 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Sed consequatur eum non eum quos.,339,Thu Aug 01 2019 21:49:47 GMT-0700 (PDT)
45,34,4,19,Tue Apr 30 2019 10:53:49 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Officia neque non a corrupti explicabo totam rerum.,626,Sun Jun 09 2019 22:26:55 GMT-0700 (PDT)
46,33,2,10,Tue Apr 02 2019 04:03:01 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Rerum quia quos itaque nihil assumenda repellat est repudiandae.,789,Sun Apr 21 2019 18:17:33 GMT-0700 (PDT)
47,55,2,9,Sat Aug 03 2019 19:49:54 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Inventore porro tempora et qui veniam omnis ut dolore.,953,Tue Aug 13 2019 02:49:44 GMT-0700 (PDT)
48,70,1,4,Wed Apr 03 2019 10:47:30 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Voluptate voluptate quasi occaecati ducimus alias omnis recusandae est in.,266,Mon May 13 2019 07:50:13 GMT-0700 (PDT)
49,66,5,22,Wed May 01 2019 09:40:25 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Inventore aperiam expedita ipsa.,499,Mon Jul 29 2019 12:15:34 GMT-0700 (PDT)
50,10,4,18,Sat May 04 2019 20:24:44 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Iure dolorem et quis a iure in cum.,664,Wed Jun 05 2019 01:03:17 GMT-0700 (PDT)
51,1,3,17,Sun Jul 07 2019 08:56:53 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Quae ab est illo nihil nemo qui aliquid illum.,194,Tue Aug 27 2019 03:10:45 GMT-0700 (PDT)
52,55,5,22,Fri May 31 2019 11:50:41 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Facere ut voluptatem aut facilis numquam.,182,Thu Sep 05 2019 06:49:57 GMT-0700 (PDT)
53,62,1,5,Fri Jun 28 2019 11:41:52 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Sunt expedita eligendi exercitationem.,925,Sat Jun 29 2019 06:13:31 GMT-0700 (PDT)
54,89,3,16,Sun Jun 16 2019 23:05:13 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Ut suscipit aliquid porro ut recusandae sed.,751,Sun Aug 25 2019 16:14:15 GMT-0700 (PDT)
55,73,2,10,Sat Jun 22 2019 10:04:51 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Provident eius quidem enim deserunt accusamus.,328,Sat Aug 03 2019 02:52:54 GMT-0700 (PDT)
56,29,4,19,Tue Apr 16 2019 15:00:29 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Ipsa repellat quas numquam ratione cum similique.,738,Tue Jun 18 2019 18:47:55 GMT-0700 (PDT)
57,92,1,5,Tue Apr 30 2019 07:26:12 GMT-0700 (PDT),http://lorempixel.com/400/400/business,Id adipisci dolores praesentium fuga maxime qui eum.,486,Sun Jun 23 2019 13:31:39 GMT-0700 (PDT)
