id,vip,parking
1,false,true
2,false,true
3,false,true
4,false,true
5,false,true
6,false,true
7,false,true
8,false,true
9,false,true
10,false,true
11,false,true
12,false,true
13,false,true
14,false,true
15,false,true
16,false,true
17,false,true
18,false,true
19,false,true
20,false,true
21,false,true
22,false,true
23,false,true
24,false,true
25,false,true
26,false,true
27,false,true
28,false,true
29,false,true
30,false,true
31,false,true
32,false,true
33,false,true
34,false,true
35,false,true
36,false,true
37,false,true
38,false,true
39,false,true
40,false,true
41,false,true
42,false,true
43,false,true
44,false,true
45,false,true
46,false,true
47,false,true
48,false,true
49,false,true
50,false,true
51,false,true
52,false,true
53,false,true
54,false,true
55,false,true
56,false,true
57,false,true
58,false,true
59,false,true
60,false,true
61,false,true
62,false,true
63,false,true
64,false,true
65,false,true
66,false,true
67,false,true
68,false,true
69,false,true
70,false,true
71,false,true
72,false,true
73,false,true
74,false,true
75,false,true
76,false,true
77,false,true
78,false,true
79,false,true
80,false,true
81,false,true
82,false,true
83,false,true
84,false,true
85,false,true
86,false,true
87,false,true
88,false,true
89,false,true
90,false,true
91,true,true
92,true,true
93,true,true
94,true,true
95,true,true
96,true,true
97,true,true
98,true,true
99,true,true
100,true,true
